ID cliente,nome cliente,ID bicicleta
1,Cliente 1,2
2,Cliente 2,12
3,Cliente 3,42
4,Cliente 4,1
5,Cliente 5,48
6,Cliente 6,35
7,Cliente 7,5
8,Cliente 8,18
9,Cliente 9,17
10,Cliente 10,2
11,Cliente 11,3
12,Cliente 12,38
13,Cliente 13,6
14,Cliente 14,12
15,Cliente 15,34
16,Cliente 16,33
17,Cliente 17,23
18,Cliente 18,22
19,Cliente 19,30
20,Cliente 20,26
21,Cliente 21,28
22,Cliente 22,41
23,Cliente 23,3
24,Cliente 24,31
25,Cliente 25,37
26,Cliente 26,39
27,Cliente 27,45
28,Cliente 28,37
29,Cliente 29,10
30,Cliente 30,50
31,Cliente 31,24
32,Cliente 32,13
33,Cliente 33,24
34,Cliente 34,33
35,Cliente 35,14
36,Cliente 36,14
37,Cliente 37,22
38,Cliente 38,49
39,Cliente 39,19
40,Cliente 40,11
41,Cliente 41,37
42,Cliente 42,19
43,Cliente 43,46
44,Cliente 44,46
45,Cliente 45,22
46,Cliente 46,20
47,Cliente 47,42
48,Cliente 48,47
49,Cliente 49,43
50,Cliente 50,42
